đ	TP
kh	KH
b	P
c	K
k	K
q	STK
d	SP
gi	SH
ch	SK
g	KP
gh	KP
h	H
l	SR
m	RH
n	PR
p	SPH
r	R
s	S
t	T
th	TH
v	SPR
ph	PH
x	ST
ng	KR
ngh	KR
nh	TK
tr	TR
uổ	-HSUO
uỗ	N-SUO
ă	*-A
uộ	N-UO
uớ	-SY
uờ	-HY
uở	-HSY
uà	-HU
uá	-SU
uâ	*-Y
uã	N-SU
oạ	N-U
uè	-HAY
ía	-SIE
oả	-HSU
ué	-SAY
uê	-UE
ửa	-HSEW
ia	-IE
ũa	N-SUO
uỳ	-HUY
uô	-UO
ụa	N-UO
oắ	-S*U
uỵ	N-UY
oằ	-H*U
uỷ	-HSUY
oẳ	-HS*U
uỹ	N-SUY
oẵ	N-S*U
oặ	N*-U
uý	-SUY
ĩ	N-S*I
oẹ	N-AY
ướ	-SEW
oẻ	-HSAY
ườ	-HEW
uă	*-U
oẽ	N-SAY
ưở	-HSEW
ưỡ	N-SEW
ượ	N-EW
uya	-EY
ữa	N-SEW
oà	-HU
oá	-SU
oã	N-SU
ĩa	N-SIE
oè	-HAY
ủa	-HSUO
oé	-SAY
a	-A
e	-E
yế	-SIE
yề	-HIE
i	*-I
ũ	N-SIU
yể	-HSIE
yễ	N-SIE
yệ	N-IE
o	-O
oă	*-U
u	-IU
iế	-SIE
iề	-HIE
y	-I
iể	-HSIE
iễ	N-SIE
iệ	N-IE
ùa	-HUO
ua	-UO
ue	-AY
yê	-IE
ựa	N-EW
uyế	-SEY
ứa	-SEW
uyề	-HEY
uyể	-HSEY
uyễ	N-SEY
iê	-IE
ơ	-W
ạ	N-A
uyệ	N-EY
ả	-HSA
uy	-UY
ấ	-S*W
ầ	-H*W
úa	-SUO
ẩ	-HS*W
ẫ	N-S*W
ậ	N*-W
ắ	-S*A
ư	-UW
ưa	-EW
ằ	-H*A
ẳ	-HS*A
ẵ	N-S*A
ặ	N*-A
ẹ	N-E
ẻ	-HSE
ỉa	-HSIE
ẽ	N-SE
ế	-SOE
ề	-HOE
ể	-HSOE
ễ	N-SOE
ệ	N-OE
uyê	-EY
ỉ	-HS*I
ị	N*-I
uạ	N-U
uơ	-Y
ọ	N-O
uả	-HSU
ỏ	-HSO
uấ	-S*Y
ố	-SOW
oa	-U
uầ	-H*Y
ồ	-HOW
uẩ	-HS*Y
ừa	-HEW
ổ	-HSOW
oe	-AY
uẫ	N-S*Y
ỗ	N-SOW
uậ	N*-Y
ộ	N-OW
uắ	-S*U
ớ	-SW
uằ	-H*U
ờ	-HW
uẳ	-HS*U
ở	-HSW
à	-HA
uẵ	N-S*U
ỡ	N-SW
á	-SA
â	*-W
uặ	N*-U
ợ	N-W
ã	N-SA
uẹ	N-AY
ụ	N-IU
uẻ	-HSAY
ủ	-HSIU
è	-HE
uẽ	N-SAY
é	-SE
ứ	-SUW
ê	-OE
uế	-SUE
ừ	-HUW
ì	-H*I
uề	-HUE
í	-S*I
ử	-HSUW
uể	-HSUE
ữ	N-SUW
ự	N-UW
ươ	-EW
ò	-HO
uệ	N-UE
ỳ	-HI
ó	-SO
ô	-OW
ỵ	N-I
ìa	-HIE
ịa	N-IE
õ	N-SO
ỷ	-HSI
ỹ	N-SI
ù	-HIU
ú	-SIU
uố	-SUO
ý	-SI
uồ	-HUO
n	-TK
t	-NT
c	-NK
ch	-GK
m	-T
n	-N
ng	-G
nh	-K
u	-JG
o	-JK
i	-J
y	-JN
