đa  TPA
kha KHA
ba  PA
ca  KA
ki  K*I
qui STK*I
da  SPA
gia SHA
cha SKA
ga  KPA
ghi KP*I
ha  HA
la  SRA
ma  RHA
na  PRA
pa  SPHA
ra  RA
sa  SA
ta  TA
tha THA
va  SPRA
pha PHA
xa  STA
nga KRA
nghi    KR*I
nha TKA
tra	TRA
tuổn    THSUON
tuỗn    TNSUON
tăn T*AN
tuộn    TNUON
quớ STK-SY
quờ STKHY
quở	STKHSY
tuà THUO
tuá TSUO
quân    STK*YN
tuã TNSUO
choạc   SKN-UNK
què STKHAY
tía TSIE
hoả H-HSU
qué STKSAY
quê STKUE
lửa SR-HSEW
tia TIE
dũa SPN-SUO
chuỳ    SK-HUY
tuôn    TUON
lụa SRN-UO
xoắn    STS*UN
khuỵ    KHN-UY
xoằn    STH*UN
quỷ STK-HSUY
xoẳn    STHS*UN
luỹ SRN-SUY
xoẵn    STNS*UN
xoặn    STN*UN
huýt    H-SUYNT
tĩ  TNS*I
toẹt    TN-AYNT
hướng   HSEWG
khoẻ    KH-HSAY
hường   HHEWG
quăn    STK*UN
toẽ TN-SAY
hưởng	HHSEWG
hưỡng	HNSEWG
hượng   HNEWG
khuya   KHEY
vữa SPRN-SEW
hoà H-HU
choáng  SK-SUG
hoãn    HN-SUN
tĩa TNSIE
